Experiment,lab,Language,Subject,Age_months,Age_years,method,Query,Response,cite
Almoammer2013,Barner,English,100212-LM,50,4.166666666666667,non-titrated,1,10,AlmoammerEtAl_2013
Almoammer2013,Barner,English,100212-LM,50,4.166666666666667,non-titrated,2,10,AlmoammerEtAl_2013
Almoammer2013,Barner,English,100212-LM,50,4.166666666666667,non-titrated,4,10,AlmoammerEtAl_2013
Almoammer2013,Barner,English,100212-LM,50,4.166666666666667,non-titrated,8,10,AlmoammerEtAl_2013
Almoammer2013,Barner,English,100212-LM,50,4.166666666666667,non-titrated,5,10,AlmoammerEtAl_2013
Almoammer2013,Barner,English,100212-LM,50,4.166666666666667,non-titrated,3,10,AlmoammerEtAl_2013
Almoammer2013,Barner,English,100212-LM,50,4.166666666666667,non-titrated,10,10,AlmoammerEtAl_2013
Almoammer2013,Barner,English,100212-AR,46,3.8333333333333335,non-titrated,1,1,AlmoammerEtAl_2013
Almoammer2013,Barner,English,100212-AR,46,3.8333333333333335,non-titrated,2,2,AlmoammerEtAl_2013
Almoammer2013,Barner,English,100212-AR,46,3.8333333333333335,non-titrated,4,4,AlmoammerEtAl_2013
Almoammer2013,Barner,English,100212-AR,46,3.8333333333333335,non-titrated,8,7,AlmoammerEtAl_2013
Almoammer2013,Barner,English,100212-AR,46,3.8333333333333335,non-titrated,5,5,AlmoammerEtAl_2013
Almoammer2013,Barner,English,100212-AR,46,3.8333333333333335,non-titrated,3,3,AlmoammerEtAl_2013
Almoammer2013,Barner,English,100212-AR,46,3.8333333333333335,non-titrated,10,10,AlmoammerEtAl_2013
Almoammer2013,Barner,English,100212-AR,46,3.8333333333333335,non-titrated,3,3,AlmoammerEtAl_2013
Almoammer2013,Barner,English,100212-AR,46,3.8333333333333335,non-titrated,10,10,AlmoammerEtAl_2013
Almoammer2013,Barner,English,100212-AR,46,3.8333333333333335,non-titrated,4,4,AlmoammerEtAl_2013
Almoammer2013,Barner,English,100212-AR,46,3.8333333333333335,non-titrated,1,1,AlmoammerEtAl_2013
Almoammer2013,Barner,English,100212-AR,46,3.8333333333333335,non-titrated,5,5,AlmoammerEtAl_2013
Almoammer2013,Barner,English,100212-AR,46,3.8333333333333335,non-titrated,2,2,AlmoammerEtAl_2013
Almoammer2013,Barner,English,100212-AR,46,3.8333333333333335,non-titrated,8,7,AlmoammerEtAl_2013
Almoammer2013,Barner,English,100212-AR,46,3.8333333333333335,non-titrated,10,8,AlmoammerEtAl_2013
Almoammer2013,Barner,English,100212-AR,46,3.8333333333333335,non-titrated,2,2,AlmoammerEtAl_2013
Almoammer2013,Barner,English,100212-AR,46,3.8333333333333335,non-titrated,1,1,AlmoammerEtAl_2013
Almoammer2013,Barner,English,100212-AR,46,3.8333333333333335,non-titrated,5,5,AlmoammerEtAl_2013
Almoammer2013,Barner,English,100212-AR,46,3.8333333333333335,non-titrated,4,4,AlmoammerEtAl_2013
Almoammer2013,Barner,English,100212-AR,46,3.8333333333333335,non-titrated,8,8,AlmoammerEtAl_2013
Almoammer2013,Barner,English,100212-AR,46,3.8333333333333335,non-titrated,3,3,AlmoammerEtAl_2013
Almoammer2013,Barner,English,100212-BL,27,2.25,non-titrated,1,10,AlmoammerEtAl_2013
Almoammer2013,Barner,English,100212-BL,27,2.25,non-titrated,2,10,AlmoammerEtAl_2013
Almoammer2013,Barner,English,100212-BL,27,2.25,non-titrated,4,10,AlmoammerEtAl_2013
Almoammer2013,Barner,English,100212-BL,27,2.25,non-titrated,8,10,AlmoammerEtAl_2013
Almoammer2013,Barner,English,100212-BL,27,2.25,non-titrated,5,10,AlmoammerEtAl_2013
Almoammer2013,Barner,English,100210-C1,38,3.1666666666666665,non-titrated,1,1,AlmoammerEtAl_2013
Almoammer2013,Barner,English,100210-C1,38,3.1666666666666665,non-titrated,2,2,AlmoammerEtAl_2013
Almoammer2013,Barner,English,100210-C1,38,3.1666666666666665,non-titrated,4,5,AlmoammerEtAl_2013
Almoammer2013,Barner,English,100210-C1,38,3.1666666666666665,non-titrated,8,6,AlmoammerEtAl_2013
Almoammer2013,Barner,English,100210-C1,38,3.1666666666666665,non-titrated,5,6,AlmoammerEtAl_2013
Almoammer2013,Barner,English,100210-C1,38,3.1666666666666665,non-titrated,3,7,AlmoammerEtAl_2013
Almoammer2013,Barner,English,100210-C1,38,3.1666666666666665,non-titrated,10,7,AlmoammerEtAl_2013
Almoammer2013,Barner,English,100210-C1,38,3.1666666666666665,non-titrated,3,7,AlmoammerEtAl_2013
Almoammer2013,Barner,English,100210-C1,38,3.1666666666666665,non-titrated,10,10,AlmoammerEtAl_2013
Almoammer2013,Barner,English,100210-C1,38,3.1666666666666665,non-titrated,4,10,AlmoammerEtAl_2013
Almoammer2013,Barner,English,100212-AA,25,2.0833333333333335,non-titrated,1,1,AlmoammerEtAl_2013
Almoammer2013,Barner,English,100212-AA,25,2.0833333333333335,non-titrated,2,2,AlmoammerEtAl_2013
Almoammer2013,Barner,English,100212-AA,25,2.0833333333333335,non-titrated,4,2,AlmoammerEtAl_2013
Almoammer2013,Barner,English,100212-AA,25,2.0833333333333335,non-titrated,8,1,AlmoammerEtAl_2013
Almoammer2013,Barner,English,100212-AA,25,2.0833333333333335,non-titrated,5,2,AlmoammerEtAl_2013
Almoammer2013,Barner,English,100212-AA,25,2.0833333333333335,non-titrated,3,2,AlmoammerEtAl_2013
