Experiment,lab,Language,Subject,Sex,KL,Age_months,Age_years,method,cite,typical
Almoammer_Barner_2013,Barner,Saudi,1,NA,2,40,3.3333333333333335,non-titrated,"Almoammer, A., Sullivan, J., Donlan, C., Marusic, F., O’Donnell, T., & Barner, D. (2013). Grammatical morphology as a source of early number word meanings. Proceedings of the National Academy of Sciences, 110(46), 18448-18453.",typical
Almoammer_Barner_2013,Barner,Saudi,2,NA,2,42,3.5,non-titrated,"Almoammer, A., Sullivan, J., Donlan, C., Marusic, F., O’Donnell, T., & Barner, D. (2013). Grammatical morphology as a source of early number word meanings. Proceedings of the National Academy of Sciences, 110(46), 18448-18453.",typical
Almoammer_Barner_2013,Barner,Saudi,3,NA,0,36,3,non-titrated,"Almoammer, A., Sullivan, J., Donlan, C., Marusic, F., O’Donnell, T., & Barner, D. (2013). Grammatical morphology as a source of early number word meanings. Proceedings of the National Academy of Sciences, 110(46), 18448-18453.",typical
Almoammer_Barner_2013,Barner,Saudi,4,NA,0,39,3.25,non-titrated,"Almoammer, A., Sullivan, J., Donlan, C., Marusic, F., O’Donnell, T., & Barner, D. (2013). Grammatical morphology as a source of early number word meanings. Proceedings of the National Academy of Sciences, 110(46), 18448-18453.",typical
Almoammer_Barner_2013,Barner,Saudi,5,NA,1,40,3.3333333333333335,non-titrated,"Almoammer, A., Sullivan, J., Donlan, C., Marusic, F., O’Donnell, T., & Barner, D. (2013). Grammatical morphology as a source of early number word meanings. Proceedings of the National Academy of Sciences, 110(46), 18448-18453.",typical
Almoammer_Barner_2013,Barner,Saudi,6,NA,2,41,3.4166666666666665,non-titrated,"Almoammer, A., Sullivan, J., Donlan, C., Marusic, F., O’Donnell, T., & Barner, D. (2013). Grammatical morphology as a source of early number word meanings. Proceedings of the National Academy of Sciences, 110(46), 18448-18453.",typical
Almoammer_Barner_2013,Barner,Saudi,7,NA,1,40,3.3333333333333335,non-titrated,"Almoammer, A., Sullivan, J., Donlan, C., Marusic, F., O’Donnell, T., & Barner, D. (2013). Grammatical morphology as a source of early number word meanings. Proceedings of the National Academy of Sciences, 110(46), 18448-18453.",typical
Almoammer_Barner_2013,Barner,Saudi,8,NA,4,40,3.3333333333333335,non-titrated,"Almoammer, A., Sullivan, J., Donlan, C., Marusic, F., O’Donnell, T., & Barner, D. (2013). Grammatical morphology as a source of early number word meanings. Proceedings of the National Academy of Sciences, 110(46), 18448-18453.",typical
Almoammer_Barner_2013,Barner,Saudi,10,NA,3,40,3.3333333333333335,non-titrated,"Almoammer, A., Sullivan, J., Donlan, C., Marusic, F., O’Donnell, T., & Barner, D. (2013). Grammatical morphology as a source of early number word meanings. Proceedings of the National Academy of Sciences, 110(46), 18448-18453.",typical
Almoammer_Barner_2013,Barner,Saudi,11,NA,3,39,3.25,non-titrated,"Almoammer, A., Sullivan, J., Donlan, C., Marusic, F., O’Donnell, T., & Barner, D. (2013). Grammatical morphology as a source of early number word meanings. Proceedings of the National Academy of Sciences, 110(46), 18448-18453.",typical
Almoammer_Barner_2013,Barner,Saudi,12,NA,2,42,3.5,non-titrated,"Almoammer, A., Sullivan, J., Donlan, C., Marusic, F., O’Donnell, T., & Barner, D. (2013). Grammatical morphology as a source of early number word meanings. Proceedings of the National Academy of Sciences, 110(46), 18448-18453.",typical
Almoammer_Barner_2013,Barner,Saudi,13,NA,1,41,3.4166666666666665,non-titrated,"Almoammer, A., Sullivan, J., Donlan, C., Marusic, F., O’Donnell, T., & Barner, D. (2013). Grammatical morphology as a source of early number word meanings. Proceedings of the National Academy of Sciences, 110(46), 18448-18453.",typical
Almoammer_Barner_2013,Barner,Saudi,14,NA,1,41,3.4166666666666665,non-titrated,"Almoammer, A., Sullivan, J., Donlan, C., Marusic, F., O’Donnell, T., & Barner, D. (2013). Grammatical morphology as a source of early number word meanings. Proceedings of the National Academy of Sciences, 110(46), 18448-18453.",typical
Almoammer_Barner_2013,Barner,Saudi,15,NA,CP,40,3.3333333333333335,non-titrated,"Almoammer, A., Sullivan, J., Donlan, C., Marusic, F., O’Donnell, T., & Barner, D. (2013). Grammatical morphology as a source of early number word meanings. Proceedings of the National Academy of Sciences, 110(46), 18448-18453.",typical
Almoammer_Barner_2013,Barner,Saudi,16,NA,1,36,3,non-titrated,"Almoammer, A., Sullivan, J., Donlan, C., Marusic, F., O’Donnell, T., & Barner, D. (2013). Grammatical morphology as a source of early number word meanings. Proceedings of the National Academy of Sciences, 110(46), 18448-18453.",typical
Almoammer_Barner_2013,Barner,Saudi,17,NA,1,39,3.25,non-titrated,"Almoammer, A., Sullivan, J., Donlan, C., Marusic, F., O’Donnell, T., & Barner, D. (2013). Grammatical morphology as a source of early number word meanings. Proceedings of the National Academy of Sciences, 110(46), 18448-18453.",typical
Almoammer_Barner_2013,Barner,Saudi,18,NA,3,42,3.5,non-titrated,"Almoammer, A., Sullivan, J., Donlan, C., Marusic, F., O’Donnell, T., & Barner, D. (2013). Grammatical morphology as a source of early number word meanings. Proceedings of the National Academy of Sciences, 110(46), 18448-18453.",typical
Almoammer_Barner_2013,Barner,Saudi,19,NA,0,37,3.0833333333333335,non-titrated,"Almoammer, A., Sullivan, J., Donlan, C., Marusic, F., O’Donnell, T., & Barner, D. (2013). Grammatical morphology as a source of early number word meanings. Proceedings of the National Academy of Sciences, 110(46), 18448-18453.",typical
Almoammer_Barner_2013,Barner,Saudi,20,NA,2,39,3.25,non-titrated,"Almoammer, A., Sullivan, J., Donlan, C., Marusic, F., O’Donnell, T., & Barner, D. (2013). Grammatical morphology as a source of early number word meanings. Proceedings of the National Academy of Sciences, 110(46), 18448-18453.",typical
Almoammer_Barner_2013,Barner,Saudi,21,NA,2,38,3.1666666666666665,non-titrated,"Almoammer, A., Sullivan, J., Donlan, C., Marusic, F., O’Donnell, T., & Barner, D. (2013). Grammatical morphology as a source of early number word meanings. Proceedings of the National Academy of Sciences, 110(46), 18448-18453.",typical
Almoammer_Barner_2013,Barner,Saudi,22,NA,2,43,3.5833333333333335,non-titrated,"Almoammer, A., Sullivan, J., Donlan, C., Marusic, F., O’Donnell, T., & Barner, D. (2013). Grammatical morphology as a source of early number word meanings. Proceedings of the National Academy of Sciences, 110(46), 18448-18453.",typical
Almoammer_Barner_2013,Barner,Saudi,23,NA,3,42,3.5,non-titrated,"Almoammer, A., Sullivan, J., Donlan, C., Marusic, F., O’Donnell, T., & Barner, D. (2013). Grammatical morphology as a source of early number word meanings. Proceedings of the National Academy of Sciences, 110(46), 18448-18453.",typical
Almoammer_Barner_2013,Barner,Saudi,24,NA,2,47,3.9166666666666665,non-titrated,"Almoammer, A., Sullivan, J., Donlan, C., Marusic, F., O’Donnell, T., & Barner, D. (2013). Grammatical morphology as a source of early number word meanings. Proceedings of the National Academy of Sciences, 110(46), 18448-18453.",typical
Almoammer_Barner_2013,Barner,Saudi,25,NA,2,43,3.5833333333333335,non-titrated,"Almoammer, A., Sullivan, J., Donlan, C., Marusic, F., O’Donnell, T., & Barner, D. (2013). Grammatical morphology as a source of early number word meanings. Proceedings of the National Academy of Sciences, 110(46), 18448-18453.",typical
Almoammer_Barner_2013,Barner,Saudi,26,NA,2,46,3.8333333333333335,non-titrated,"Almoammer, A., Sullivan, J., Donlan, C., Marusic, F., O’Donnell, T., & Barner, D. (2013). Grammatical morphology as a source of early number word meanings. Proceedings of the National Academy of Sciences, 110(46), 18448-18453.",typical
Almoammer_Barner_2013,Barner,Saudi,27,NA,1,43,3.5833333333333335,non-titrated,"Almoammer, A., Sullivan, J., Donlan, C., Marusic, F., O’Donnell, T., & Barner, D. (2013). Grammatical morphology as a source of early number word meanings. Proceedings of the National Academy of Sciences, 110(46), 18448-18453.",typical
Almoammer_Barner_2013,Barner,Saudi,28,NA,CP,42,3.5,non-titrated,"Almoammer, A., Sullivan, J., Donlan, C., Marusic, F., O’Donnell, T., & Barner, D. (2013). Grammatical morphology as a source of early number word meanings. Proceedings of the National Academy of Sciences, 110(46), 18448-18453.",typical
Almoammer_Barner_2013,Barner,Saudi,29,NA,2,45,3.75,non-titrated,"Almoammer, A., Sullivan, J., Donlan, C., Marusic, F., O’Donnell, T., & Barner, D. (2013). Grammatical morphology as a source of early number word meanings. Proceedings of the National Academy of Sciences, 110(46), 18448-18453.",typical
