Experiment,Participant,Language,PrimaryLang,Age_months,SEX,method,cite,1,2,4,8,5,3,10,3,10,4,1,5,2,8,10,2,1,5,4,8,3
Wagner2016,011713-GD,English,English,36.32,M,non-titrated,"Wagner, K., Chu, J., & Barner, D. (2019). Do children's number words begin noisy?.ÊDevelopmental science,Ê22(1), e12752.",10,10,10,10,10,10,10,,,,,,,,,,,,,,
Wagner2016,082112-ET2,English,English,58.85,F,non-titrated,"Wagner, K., Chu, J., & Barner, D. (2019). Do children's number words begin noisy?.ÊDevelopmental science,Ê22(1), e12752.",1,2,4,8,5,3,10,3,10,4,1,5,2,8,10,2,1,5,4,8,3
Wagner2016,082112-ET1,English,English,58.85,F,non-titrated,"Wagner, K., Chu, J., & Barner, D. (2019). Do children's number words begin noisy?.ÊDevelopmental science,Ê22(1), e12752.",1,2,4,8,5,3,10,3,10,4,1,6,2,8,13,2,1,6,4,8,3
Wagner2016,080312-VW,English,English,44.11,F,non-titrated,"Wagner, K., Chu, J., & Barner, D. (2019). Do children's number words begin noisy?.ÊDevelopmental science,Ê22(1), e12752.",1,2,4,4,5,4,4,5,4,5,1,7,2,6,7,2,1,8,4,7,3
Wagner2016,080212-HS,English,English,37.37,F,non-titrated,"Wagner, K., Chu, J., & Barner, D. (2019). Do children's number words begin noisy?.ÊDevelopmental science,Ê22(1), e12752.",1,2,4,4,4,3,5,4,6,5,1,5,2,5,4,2,1,5,5,3,3
Wagner2016,080212-TD,English,English,46.55,M,non-titrated,"Wagner, K., Chu, J., & Barner, D. (2019). Do children's number words begin noisy?.ÊDevelopmental science,Ê22(1), e12752.",1,2,3,4,5,9,8,6,7,9,1,10,8,8,10,8,1,8,10,4,4
Wagner2016,080212-MF,English,English,34.84,F,non-titrated,"Wagner, K., Chu, J., & Barner, D. (2019). Do children's number words begin noisy?.ÊDevelopmental science,Ê22(1), e12752.",1,2,6,3,8,2,4,4,7,6,1,2,4,4,3,4,1,4,3,2,2
Wagner2016,080212-LA,English,English,38.06,F,non-titrated,"Wagner, K., Chu, J., & Barner, D. (2019). Do children's number words begin noisy?.ÊDevelopmental science,Ê22(1), e12752.",10,10,10,10,10,10,10,,,,,,,,,,,,,,
Wagner2016,080112-SF,English,English,59.61,F,non-titrated,"Wagner, K., Chu, J., & Barner, D. (2019). Do children's number words begin noisy?.ÊDevelopmental science,Ê22(1), e12752.",1,2,4,8,5,3,10,3,10,4,1,5,2,8,10,2,1,5,4,8,3
Wagner2016,080112-SL,English,English-Spanish,45.69,F,non-titrated,"Wagner, K., Chu, J., & Barner, D. (2019). Do children's number words begin noisy?.ÊDevelopmental science,Ê22(1), e12752.",1,2,1,1,1,3,2,3,2,4,1,5,2,7,2,2,1,5,4,8,3
Wagner2016,071112-AM,English,English,60,M,non-titrated,"Wagner, K., Chu, J., & Barner, D. (2019). Do children's number words begin noisy?.ÊDevelopmental science,Ê22(1), e12752.",1,2,10,4,10,3,10,3,10,10,1,6,2,8,6,2,1,9,8,4,3
Wagner2016,070312-EJ,English,English,51.74,M,non-titrated,"Wagner, K., Chu, J., & Barner, D. (2019). Do children's number words begin noisy?.ÊDevelopmental science,Ê22(1), e12752.",1,2,4,6,5,3,10,3,10,4,1,5,2,8,10,2,1,5,4,7,3
Wagner2016,070312-MH,English,English,55.92,F,non-titrated,"Wagner, K., Chu, J., & Barner, D. (2019). Do children's number words begin noisy?.ÊDevelopmental science,Ê22(1), e12752.",1,2,4,8,5,3,10,3,10,4,1,5,2,8,10,2,1,5,4,7,3
Wagner2016,070312-AB,English,English,57.47,F,non-titrated,"Wagner, K., Chu, J., & Barner, D. (2019). Do children's number words begin noisy?.ÊDevelopmental science,Ê22(1), e12752.",1,2,5,7,5,4,7,4,8,7,1,4,2,5,6,2,1,7,4,6,4
Wagner2016,070312-LH,English,English,59.01,F,non-titrated,"Wagner, K., Chu, J., & Barner, D. (2019). Do children's number words begin noisy?.ÊDevelopmental science,Ê22(1), e12752.",1,2,4,8,5,3,10,3,10,4,1,5,2,10,9,2,1,5,4,10,3
Wagner2016,070312-KT,English,English,59.67,F,non-titrated,"Wagner, K., Chu, J., & Barner, D. (2019). Do children's number words begin noisy?.ÊDevelopmental science,Ê22(1), e12752.",1,2,4,8,5,3,10,3,10,4,1,5,2,8,10,2,1,5,4,8,3
