SID,Age,Sex,Language,Knower_level,Task,Trial_number,Task_item,Response,Correct,cite
022619-ER,3.02532512,F,English,1,Give_N,1,1,1,1,"Schneider, R. M., Pankonin, A. H., Schachner, A., & Barner, D. (2020, September 23). Starting small: Exploring the origins of successor function knowledge. https://doi.org/10.31234/osf.io/3zngr"
022619-ER,3.02532512,F,English,1,Give_N,2,2,2,1,"Schneider, R. M., Pankonin, A. H., Schachner, A., & Barner, D. (2020, September 23). Starting small: Exploring the origins of successor function knowledge. https://doi.org/10.31234/osf.io/3zngr"
022619-ER,3.02532512,F,English,1,Give_N,3,3,2,0,"Schneider, R. M., Pankonin, A. H., Schachner, A., & Barner, D. (2020, September 23). Starting small: Exploring the origins of successor function knowledge. https://doi.org/10.31234/osf.io/3zngr"
022619-ER,3.02532512,F,English,1,Give_N,4,2,2,1,"Schneider, R. M., Pankonin, A. H., Schachner, A., & Barner, D. (2020, September 23). Starting small: Exploring the origins of successor function knowledge. https://doi.org/10.31234/osf.io/3zngr"
022619-ER,3.02532512,F,English,1,Give_N,5,3,2,0,"Schneider, R. M., Pankonin, A. H., Schachner, A., & Barner, D. (2020, September 23). Starting small: Exploring the origins of successor function knowledge. https://doi.org/10.31234/osf.io/3zngr"
022619-ER,3.02532512,F,English,1,Give_N,6,NA,NA,NA,"Schneider, R. M., Pankonin, A. H., Schachner, A., & Barner, D. (2020, September 23). Starting small: Exploring the origins of successor function knowledge. https://doi.org/10.31234/osf.io/3zngr"
022619-ER,3.02532512,F,English,1,Give_N,7,NA,NA,NA,"Schneider, R. M., Pankonin, A. H., Schachner, A., & Barner, D. (2020, September 23). Starting small: Exploring the origins of successor function knowledge. https://doi.org/10.31234/osf.io/3zngr"
022619-ER,3.02532512,F,English,1,Give_N,8,NA,NA,NA,"Schneider, R. M., Pankonin, A. H., Schachner, A., & Barner, D. (2020, September 23). Starting small: Exploring the origins of successor function knowledge. https://doi.org/10.31234/osf.io/3zngr"
022619-ER,3.02532512,F,English,1,Give_N,9,NA,NA,NA,"Schneider, R. M., Pankonin, A. H., Schachner, A., & Barner, D. (2020, September 23). Starting small: Exploring the origins of successor function knowledge. https://doi.org/10.31234/osf.io/3zngr"
022619-ER,3.02532512,F,English,1,Give_N,10,NA,NA,NA,"Schneider, R. M., Pankonin, A. H., Schachner, A., & Barner, D. (2020, September 23). Starting small: Exploring the origins of successor function knowledge. https://doi.org/10.31234/osf.io/3zngr"
