SubjID,Age.Mo,Age.Yr,Gender,Give.N.Method,GNtitrated_method,1.GNtitrated_request,1.GNtitrated_answer,1.GNtitrated_KL,2.GNtitrated_request,2.GNtitrated_answer,2.GNtitrated_KL,Exclusion,Comment,NoMatch_KL_dir,NoMatch_gap
070618-LR,31,2.6,F,titrated,2,1,1,2k,1,1,2k,no,,,
070618-LR,31,2.6,F,titrated,2,2,2,2k,2,2,2k,no,,,
070618-LR,31,2.6,F,titrated,2,3,3,2k,3,4,2k,no,,,
070618-LR,31,2.6,F,titrated,2,4,8,2k,2,2,2k,no,,,
070618-LR,31,2.6,F,titrated,2,3,2,2k,3,3,2k,no,,,
070618-LR,31,2.6,F,titrated,2,2,2,2k,4,3,2k,no,,,
070618-LR,31,2.6,F,titrated,2,3,3,2k,3,5,2k,no,,,
070618-LR,31,2.6,F,titrated,2,4,3,2k,,,2k,no,,,
070618-LR,31,2.6,F,titrated,2,3,3,2k,,,2k,no,,,
070618-LR,31,2.6,F,titrated,2,4,4,2k,,,2k,no,,,
070618-LR,31,2.6,F,titrated,2,3,6,2k,,,2k,no,,,
070618-LR,31,2.6,F,titrated,2,2,2,2k,,,2k,no,,,
070618-LR,31,2.6,F,titrated,2,1,1,2k,,,2k,no,,,
070618-LR,31,2.6,F,titrated,2,1,1,2k,,,2k,no,,,
071618-JG,46,3.791780822,M,titrated,2,1,1,4k,1,1,4k,no,,,
071618-JG,46,3.791780822,M,titrated,2,2,2,4k,2,2,4k,no,,,
071618-JG,46,3.791780822,M,titrated,2,3,3,4k,3,3,4k,no,,,
071618-JG,46,3.791780822,M,titrated,2,4,4,4k,4,4,4k,no,,,
071618-JG,46,3.791780822,M,titrated,2,5,5,4k,5,5,4k,no,,,
071618-JG,46,3.791780822,M,titrated,2,6,7,4k,6,5,4k,no,,,
071618-JG,46,3.791780822,M,titrated,2,5,5,4k,5,5,4k,no,,,
071618-JG,46,3.791780822,M,titrated,2,6,6,4k,6,8,4k,no,,,
071618-JG,46,3.791780822,M,titrated,2,6,5,4k,5,5,4k,no,,,
071618-JG,46,3.791780822,M,titrated,2,5,4,4k,6,6,4k,no,,,
071618-JG,46,3.791780822,M,titrated,2,4,4,4k,5,4,4k,no,,,
071618-JG,46,3.791780822,M,titrated,2,5,5,4k,4,5,4k,no,,,
071618-JG,46,3.791780822,M,titrated,2,6,5,4k,3,3,4k,no,,,
071618-JG,46,3.791780822,M,titrated,2,,,4k,4,4,4k,no,,,
071618-JG,46,3.791780822,M,titrated,2,,,4k,5,5,4k,no,,,
071618-JG,46,3.791780822,M,titrated,2,,,4k,6,5,4k,no,,,
071818-ZR,39,3.257534247,M,titrated,2,1,1,2k,1,1,3k,no,,increase,1
071818-ZR,39,3.257534247,M,titrated,2,2,2,2k,2,2,3k,no,,increase,1
071818-ZR,39,3.257534247,M,titrated,2,3,3,2k,3,3,3k,no,,increase,1
071818-ZR,39,3.257534247,M,titrated,2,4,3,2k,4,8,3k,no,,increase,1
071818-ZR,39,3.257534247,M,titrated,2,3,8,2k,3,4,3k,no,,increase,1
071818-ZR,39,3.257534247,M,titrated,2,2,2,2k,2,2,3k,no,,increase,1
071818-ZR,39,3.257534247,M,titrated,2,3,8,2k,3,3,3k,no,,increase,1
071818-ZR,39,3.257534247,M,titrated,2,2,2,2k,4,4,3k,no,,increase,1
071818-ZR,39,3.257534247,M,titrated,2,3,5,2k,5,8,3k,no,,increase,1
071818-ZR,39,3.257534247,M,titrated,2,,,2k,4,8,3k,no,,increase,1
071918-JS,30,2.526027397,F,titrated,2,1,1,1k,1,1,1k,no,,,
071918-JS,30,2.526027397,F,titrated,2,2,4,1k,2,3,1k,no,,,
071918-JS,30,2.526027397,F,titrated,2,1,1,1k,1,8,1k,no,,,
071918-JS,30,2.526027397,F,titrated,2,2,3,1k,1,1,1k,no,,,
071918-JS,30,2.526027397,F,titrated,2,1,1,1k,2,8,1k,no,,,
071918-DP,37,3.150684932,M,titrated,2,1,1,1k,1,1,1k,no,,,
071918-DP,37,3.150684932,M,titrated,2,2,2,1k,2,2,1k,no,,,
