SID,Age,Sex,Language,Knower_level,Task,Trial_number,Task_item,Response,Correct,cite
071519-OL,3.227926078,F,English,2,Give_N,1,1,1,1,"Schneider, R. M., Pankonin, A. H., Schachner, A., & Barner, D. (2020, September 23). Starting small: Exploring the origins of successor function knowledge. https://doi.org/10.31234/osf.io/3zngr"
071519-OL,3.227926078,F,English,2,Give_N,2,2,3,0,"Schneider, R. M., Pankonin, A. H., Schachner, A., & Barner, D. (2020, September 23). Starting small: Exploring the origins of successor function knowledge. https://doi.org/10.31234/osf.io/3zngr"
071519-OL,3.227926078,F,English,2,Give_N,3,1,1,1,"Schneider, R. M., Pankonin, A. H., Schachner, A., & Barner, D. (2020, September 23). Starting small: Exploring the origins of successor function knowledge. https://doi.org/10.31234/osf.io/3zngr"
071519-OL,3.227926078,F,English,2,Give_N,4,2,2,1,"Schneider, R. M., Pankonin, A. H., Schachner, A., & Barner, D. (2020, September 23). Starting small: Exploring the origins of successor function knowledge. https://doi.org/10.31234/osf.io/3zngr"
071519-OL,3.227926078,F,English,2,Give_N,5,3,3,1,"Schneider, R. M., Pankonin, A. H., Schachner, A., & Barner, D. (2020, September 23). Starting small: Exploring the origins of successor function knowledge. https://doi.org/10.31234/osf.io/3zngr"
071519-OL,3.227926078,F,English,2,Give_N,6,4,3,0,"Schneider, R. M., Pankonin, A. H., Schachner, A., & Barner, D. (2020, September 23). Starting small: Exploring the origins of successor function knowledge. https://doi.org/10.31234/osf.io/3zngr"
071519-OL,3.227926078,F,English,2,Give_N,7,3,2,0,"Schneider, R. M., Pankonin, A. H., Schachner, A., & Barner, D. (2020, September 23). Starting small: Exploring the origins of successor function knowledge. https://doi.org/10.31234/osf.io/3zngr"
071519-OL,3.227926078,F,English,2,Give_N,8,2,2,1,"Schneider, R. M., Pankonin, A. H., Schachner, A., & Barner, D. (2020, September 23). Starting small: Exploring the origins of successor function knowledge. https://doi.org/10.31234/osf.io/3zngr"
071519-OL,3.227926078,F,English,2,Give_N,9,NA,NA,NA,"Schneider, R. M., Pankonin, A. H., Schachner, A., & Barner, D. (2020, September 23). Starting small: Exploring the origins of successor function knowledge. https://doi.org/10.31234/osf.io/3zngr"
071519-OL,3.227926078,F,English,2,Give_N,10,NA,NA,NA,"Schneider, R. M., Pankonin, A. H., Schachner, A., & Barner, D. (2020, September 23). Starting small: Exploring the origins of successor function knowledge. https://doi.org/10.31234/osf.io/3zngr"
071519-OL,3.227926078,F,English,2,Give_N,11,NA,NA,NA,"Schneider, R. M., Pankonin, A. H., Schachner, A., & Barner, D. (2020, September 23). Starting small: Exploring the origins of successor function knowledge. https://doi.org/10.31234/osf.io/3zngr"
071519-OL,3.227926078,F,English,2,Give_N,12,NA,NA,NA,"Schneider, R. M., Pankonin, A. H., Schachner, A., & Barner, D. (2020, September 23). Starting small: Exploring the origins of successor function knowledge. https://doi.org/10.31234/osf.io/3zngr"
071519-OL,3.227926078,F,English,2,Give_N,13,NA,NA,NA,"Schneider, R. M., Pankonin, A. H., Schachner, A., & Barner, D. (2020, September 23). Starting small: Exploring the origins of successor function knowledge. https://doi.org/10.31234/osf.io/3zngr"
