SID,Age,Sex,Language,Knower_level,Task,Trial_number,Task_item,Response,cite
100519-E2,3.244353183,F,English,CP,Give_N,1,1,1,"Schneider, R.M, Feiman, R., & Barner, D. (unpublished dataset)."
100519-E2,3.244353183,F,English,CP,Give_N,2,2,2,"Schneider, R.M, Feiman, R., & Barner, D. (unpublished dataset)."
100519-E2,3.244353183,F,English,CP,Give_N,3,3,3,"Schneider, R.M, Feiman, R., & Barner, D. (unpublished dataset)."
100519-E2,3.244353183,F,English,CP,Give_N,4,4,4,"Schneider, R.M, Feiman, R., & Barner, D. (unpublished dataset)."
100519-E2,3.244353183,F,English,CP,Give_N,5,5,5,"Schneider, R.M, Feiman, R., & Barner, D. (unpublished dataset)."
100519-E2,3.244353183,F,English,CP,Give_N,6,6,6,"Schneider, R.M, Feiman, R., & Barner, D. (unpublished dataset)."
100519-E2,3.244353183,F,English,CP,Give_N,7,6,6,"Schneider, R.M, Feiman, R., & Barner, D. (unpublished dataset)."
100519-E2,3.244353183,F,English,CP,Give_N,8,6,6,"Schneider, R.M, Feiman, R., & Barner, D. (unpublished dataset)."
100519-E2,3.244353183,F,English,CP,Give_N,9,NA,NA,"Schneider, R.M, Feiman, R., & Barner, D. (unpublished dataset)."
100519-E2,3.244353183,F,English,CP,Give_N,10,NA,NA,"Schneider, R.M, Feiman, R., & Barner, D. (unpublished dataset)."
100519-E2,3.244353183,F,English,CP,Give_N,11,NA,NA,"Schneider, R.M, Feiman, R., & Barner, D. (unpublished dataset)."
100519-E2,3.244353183,F,English,CP,Give_N,12,NA,NA,"Schneider, R.M, Feiman, R., & Barner, D. (unpublished dataset)."
100519-E2,3.244353183,F,English,CP,Give_N,13,NA,NA,"Schneider, R.M, Feiman, R., & Barner, D. (unpublished dataset)."
100519-E2,3.244353183,F,English,CP,Give_N,14,NA,NA,"Schneider, R.M, Feiman, R., & Barner, D. (unpublished dataset)."
100519-E2,3.244353183,F,English,CP,Give_N,15,NA,NA,"Schneider, R.M, Feiman, R., & Barner, D. (unpublished dataset)."
100619-G,4.210814511,M,English,CP,Give_N,1,1,1,"Schneider, R.M, Feiman, R., & Barner, D. (unpublished dataset)."
100619-G,4.210814511,M,English,CP,Give_N,2,2,2,"Schneider, R.M, Feiman, R., & Barner, D. (unpublished dataset)."
100619-G,4.210814511,M,English,CP,Give_N,3,3,3,"Schneider, R.M, Feiman, R., & Barner, D. (unpublished dataset)."
100619-G,4.210814511,M,English,CP,Give_N,4,4,4,"Schneider, R.M, Feiman, R., & Barner, D. (unpublished dataset)."
100619-G,4.210814511,M,English,CP,Give_N,5,5,5,"Schneider, R.M, Feiman, R., & Barner, D. (unpublished dataset)."
100619-G,4.210814511,M,English,CP,Give_N,6,6,10,"Schneider, R.M, Feiman, R., & Barner, D. (unpublished dataset)."
100619-G,4.210814511,M,English,CP,Give_N,7,5,5,"Schneider, R.M, Feiman, R., & Barner, D. (unpublished dataset)."
100619-G,4.210814511,M,English,CP,Give_N,8,6,6,"Schneider, R.M, Feiman, R., & Barner, D. (unpublished dataset)."
100619-G,4.210814511,M,English,CP,Give_N,9,6,6,"Schneider, R.M, Feiman, R., & Barner, D. (unpublished dataset)."
100619-G,4.210814511,M,English,CP,Give_N,10,6,6,"Schneider, R.M, Feiman, R., & Barner, D. (unpublished dataset)."
100619-G,4.210814511,M,English,CP,Give_N,11,NA,NA,"Schneider, R.M, Feiman, R., & Barner, D. (unpublished dataset)."
100619-G,4.210814511,M,English,CP,Give_N,12,NA,NA,"Schneider, R.M, Feiman, R., & Barner, D. (unpublished dataset)."
100619-G,4.210814511,M,English,CP,Give_N,13,NA,NA,"Schneider, R.M, Feiman, R., & Barner, D. (unpublished dataset)."
100619-G,4.210814511,M,English,CP,Give_N,14,NA,NA,"Schneider, R.M, Feiman, R., & Barner, D. (unpublished dataset)."
100619-G,4.210814511,M,English,CP,Give_N,15,NA,NA,"Schneider, R.M, Feiman, R., & Barner, D. (unpublished dataset)."
100619-LY,3.151266256,M,English,2,Give_N,1,1,1,"Schneider, R.M, Feiman, R., & Barner, D. (unpublished dataset)."
100619-LY,3.151266256,M,English,2,Give_N,2,2,2,"Schneider, R.M, Feiman, R., & Barner, D. (unpublished dataset)."
100619-LY,3.151266256,M,English,2,Give_N,3,3,2,"Schneider, R.M, Feiman, R., & Barner, D. (unpublished dataset)."
100619-LY,3.151266256,M,English,2,Give_N,4,2,2,"Schneider, R.M, Feiman, R., & Barner, D. (unpublished dataset)."
100619-LY,3.151266256,M,English,2,Give_N,5,3,8,"Schneider, R.M, Feiman, R., & Barner, D. (unpublished dataset)."
100619-LY,3.151266256,M,English,2,Give_N,6,2,2,"Schneider, R.M, Feiman, R., & Barner, D. (unpublished dataset)."
100619-LY,3.151266256,M,English,2,Give_N,7,NA,NA,"Schneider, R.M, Feiman, R., & Barner, D. (unpublished dataset)."
100619-LY,3.151266256,M,English,2,Give_N,8,NA,NA,"Schneider, R.M, Feiman, R., & Barner, D. (unpublished dataset)."
100619-LY,3.151266256,M,English,2,Give_N,9,NA,NA,"Schneider, R.M, Feiman, R., & Barner, D. (unpublished dataset)."
100619-LY,3.151266256,M,English,2,Give_N,10,NA,NA,"Schneider, R.M, Feiman, R., & Barner, D. (unpublished dataset)."
100619-LY,3.151266256,M,English,2,Give_N,11,NA,NA,"Schneider, R.M, Feiman, R., & Barner, D. (unpublished dataset)."
100619-LY,3.151266256,M,English,2,Give_N,12,NA,NA,"Schneider, R.M, Feiman, R., & Barner, D. (unpublished dataset)."
100619-LY,3.151266256,M,English,2,Give_N,13,NA,NA,"Schneider, R.M, Feiman, R., & Barner, D. (unpublished dataset)."
100619-LY,3.151266256,M,English,2,Give_N,14,NA,NA,"Schneider, R.M, Feiman, R., & Barner, D. (unpublished dataset)."
100619-LY,3.151266256,M,English,2,Give_N,15,NA,NA,"Schneider, R.M, Feiman, R., & Barner, D. (unpublished dataset)."
100619-J,3.646817248,M,English,3,Give_N,1,1,1,"Schneider, R.M, Feiman, R., & Barner, D. (unpublished dataset)."
100619-J,3.646817248,M,English,3,Give_N,2,2,2,"Schneider, R.M, Feiman, R., & Barner, D. (unpublished dataset)."
100619-J,3.646817248,M,English,3,Give_N,3,3,3,"Schneider, R.M, Feiman, R., & Barner, D. (unpublished dataset)."
100619-J,3.646817248,M,English,3,Give_N,4,4,4,"Schneider, R.M, Feiman, R., & Barner, D. (unpublished dataset)."
100619-J,3.646817248,M,English,3,Give_N,5,5,6,"Schneider, R.M, Feiman, R., & Barner, D. (unpublished dataset)."
100619-J,3.646817248,M,English,3,Give_N,6,4,6,"Schneider, R.M, Feiman, R., & Barner, D. (unpublished dataset)."
100619-J,3.646817248,M,English,3,Give_N,7,3,3,"Schneider, R.M, Feiman, R., & Barner, D. (unpublished dataset)."
100619-J,3.646817248,M,English,3,Give_N,8,4,4,"Schneider, R.M, Feiman, R., & Barner, D. (unpublished dataset)."
100619-J,3.646817248,M,English,3,Give_N,9,5,10,"Schneider, R.M, Feiman, R., & Barner, D. (unpublished dataset)."
100619-J,3.646817248,M,English,3,Give_N,10,4,5,"Schneider, R.M, Feiman, R., & Barner, D. (unpublished dataset)."
100619-J,3.646817248,M,English,3,Give_N,11,3,3,"Schneider, R.M, Feiman, R., & Barner, D. (unpublished dataset)."
100619-J,3.646817248,M,English,3,Give_N,12,NA,NA,"Schneider, R.M, Feiman, R., & Barner, D. (unpublished dataset)."
100619-J,3.646817248,M,English,3,Give_N,13,NA,NA,"Schneider, R.M, Feiman, R., & Barner, D. (unpublished dataset)."
100619-J,3.646817248,M,English,3,Give_N,14,NA,NA,"Schneider, R.M, Feiman, R., & Barner, D. (unpublished dataset)."
100619-J,3.646817248,M,English,3,Give_N,15,NA,NA,"Schneider, R.M, Feiman, R., & Barner, D. (unpublished dataset)."
100619-EV,3.290896646,F,English,CP,Give_N,1,1,1,"Schneider, R.M, Feiman, R., & Barner, D. (unpublished dataset)."
100619-EV,3.290896646,F,English,CP,Give_N,2,2,2,"Schneider, R.M, Feiman, R., & Barner, D. (unpublished dataset)."
100619-EV,3.290896646,F,English,CP,Give_N,3,3,3,"Schneider, R.M, Feiman, R., & Barner, D. (unpublished dataset)."
100619-EV,3.290896646,F,English,CP,Give_N,4,4,4,"Schneider, R.M, Feiman, R., & Barner, D. (unpublished dataset)."
100619-EV,3.290896646,F,English,CP,Give_N,5,5,5,"Schneider, R.M, Feiman, R., & Barner, D. (unpublished dataset)."
100619-EV,3.290896646,F,English,CP,Give_N,6,6,6,"Schneider, R.M, Feiman, R., & Barner, D. (unpublished dataset)."
100619-EV,3.290896646,F,English,CP,Give_N,7,6,6,"Schneider, R.M, Feiman, R., & Barner, D. (unpublished dataset)."
100619-EV,3.290896646,F,English,CP,Give_N,8,6,6,"Schneider, R.M, Feiman, R., & Barner, D. (unpublished dataset)."
100619-EV,3.290896646,F,English,CP,Give_N,9,NA,NA,"Schneider, R.M, Feiman, R., & Barner, D. (unpublished dataset)."
100619-EV,3.290896646,F,English,CP,Give_N,10,NA,,"Schneider, R.M, Feiman, R., & Barner, D. (unpublished dataset)."
100619-EV,3.290896646,F,English,CP,Give_N,11,NA,,"Schneider, R.M, Feiman, R., & Barner, D. (unpublished dataset)."
