Experiment,Language,Participant,Location,Dual,Age,Knower.Level,method,cite,lab
Marusic_Barner_2016,Slovenian,_-T-13032015,Bistrica,Dual,52.46099097,2,non-titrated,"Marusic, F., Zaucer, R., Plesnicar, V., Razborcek, T., Sullivan, J., & Barner, D. (2016). Does grammatical structure accelerate number word learning? Evidence from learners of dual and non-dual dialects of Slovenian.ÊPloS one,Ê11(8), e0159208.",Barner
Marusic_Barner_2016,Slovenian,02042015-_A-_,Bistrica,Dual,38.79551054,2,non-titrated,"Marusic, F., Zaucer, R., Plesnicar, V., Razborcek, T., Sullivan, J., & Barner, D. (2016). Does grammatical structure accelerate number word learning? Evidence from learners of dual and non-dual dialects of Slovenian.ÊPloS one,Ê11(8), e0159208.",Barner
Marusic_Barner_2016,Slovenian,02042015-A-V,Bistrica,Dual,45.66110047,5,non-titrated,"Marusic, F., Zaucer, R., Plesnicar, V., Razborcek, T., Sullivan, J., & Barner, D. (2016). Does grammatical structure accelerate number word learning? Evidence from learners of dual and non-dual dialects of Slovenian.ÊPloS one,Ê11(8), e0159208.",Barner
Marusic_Barner_2016,Slovenian,02042015-AL-V,Bistrica,Dual,43.23022174,2,non-titrated,"Marusic, F., Zaucer, R., Plesnicar, V., Razborcek, T., Sullivan, J., & Barner, D. (2016). Does grammatical structure accelerate number word learning? Evidence from learners of dual and non-dual dialects of Slovenian.ÊPloS one,Ê11(8), e0159208.",Barner
Marusic_Barner_2016,Slovenian,02042015-AN-_,Bistrica,Dual,37.44867232,1,non-titrated,"Marusic, F., Zaucer, R., Plesnicar, V., Razborcek, T., Sullivan, J., & Barner, D. (2016). Does grammatical structure accelerate number word learning? Evidence from learners of dual and non-dual dialects of Slovenian.ÊPloS one,Ê11(8), e0159208.",Barner
Marusic_Barner_2016,Slovenian,02042015-B-V,Bistrica,Dual,40.53654531,5,non-titrated,"Marusic, F., Zaucer, R., Plesnicar, V., Razborcek, T., Sullivan, J., & Barner, D. (2016). Does grammatical structure accelerate number word learning? Evidence from learners of dual and non-dual dialects of Slovenian.ÊPloS one,Ê11(8), e0159208.",Barner
Marusic_Barner_2016,Slovenian,02042015-G-V,Bistrica,Dual,53.84067889,5,non-titrated,"Marusic, F., Zaucer, R., Plesnicar, V., Razborcek, T., Sullivan, J., & Barner, D. (2016). Does grammatical structure accelerate number word learning? Evidence from learners of dual and non-dual dialects of Slovenian.ÊPloS one,Ê11(8), e0159208.",Barner
Marusic_Barner_2016,Slovenian,02042015-LIJA-_,Bistrica,Dual,38.30276485,1,non-titrated,"Marusic, F., Zaucer, R., Plesnicar, V., Razborcek, T., Sullivan, J., & Barner, D. (2016). Does grammatical structure accelerate number word learning? Evidence from learners of dual and non-dual dialects of Slovenian.ÊPloS one,Ê11(8), e0159208.",Barner
Marusic_Barner_2016,Slovenian,02042015-M-V,Bistrica,Dual,40.70079387,2,non-titrated,"Marusic, F., Zaucer, R., Plesnicar, V., Razborcek, T., Sullivan, J., & Barner, D. (2016). Does grammatical structure accelerate number word learning? Evidence from learners of dual and non-dual dialects of Slovenian.ÊPloS one,Ê11(8), e0159208.",Barner
Marusic_Barner_2016,Slovenian,02042015-MAT-_,Bistrica,Dual,29.2690939,1,non-titrated,"Marusic, F., Zaucer, R., Plesnicar, V., Razborcek, T., Sullivan, J., & Barner, D. (2016). Does grammatical structure accelerate number word learning? Evidence from learners of dual and non-dual dialects of Slovenian.ÊPloS one,Ê11(8), e0159208.",Barner
Marusic_Barner_2016,Slovenian,02042015-MI-_,Bistrica,Dual,32.55406515,1,non-titrated,"Marusic, F., Zaucer, R., Plesnicar, V., Razborcek, T., Sullivan, J., & Barner, D. (2016). Does grammatical structure accelerate number word learning? Evidence from learners of dual and non-dual dialects of Slovenian.ÊPloS one,Ê11(8), e0159208.",Barner
Marusic_Barner_2016,Slovenian,02042015-N-V,Bistrica,Dual,36.16753353,2,non-titrated,"Marusic, F., Zaucer, R., Plesnicar, V., Razborcek, T., Sullivan, J., & Barner, D. (2016). Does grammatical structure accelerate number word learning? Evidence from learners of dual and non-dual dialects of Slovenian.ÊPloS one,Ê11(8), e0159208.",Barner
Marusic_Barner_2016,Slovenian,02042015-NEJ-_,Bistrica,Dual,39.84670134,2,non-titrated,"Marusic, F., Zaucer, R., Plesnicar, V., Razborcek, T., Sullivan, J., & Barner, D. (2016). Does grammatical structure accelerate number word learning? Evidence from learners of dual and non-dual dialects of Slovenian.ÊPloS one,Ê11(8), e0159208.",Barner
Marusic_Barner_2016,Slovenian,02042015-T-V,Bistrica,Dual,51.34410074,3,non-titrated,"Marusic, F., Zaucer, R., Plesnicar, V., Razborcek, T., Sullivan, J., & Barner, D. (2016). Does grammatical structure accelerate number word learning? Evidence from learners of dual and non-dual dialects of Slovenian.ÊPloS one,Ê11(8), e0159208.",Barner
Marusic_Barner_2016,Slovenian,02042015-Tad-_,Bistrica,Dual,34.13085136,0,non-titrated,"Marusic, F., Zaucer, R., Plesnicar, V., Razborcek, T., Sullivan, J., & Barner, D. (2016). Does grammatical structure accelerate number word learning? Evidence from learners of dual and non-dual dialects of Slovenian.ÊPloS one,Ê11(8), e0159208.",Barner
Marusic_Barner_2016,Slovenian,02042015-TIN-_,Bistrica,Dual,30.51738297,2,non-titrated,"Marusic, F., Zaucer, R., Plesnicar, V., Razborcek, T., Sullivan, J., & Barner, D. (2016). Does grammatical structure accelerate number word learning? Evidence from learners of dual and non-dual dialects of Slovenian.ÊPloS one,Ê11(8), e0159208.",Barner
Marusic_Barner_2016,Slovenian,02042015-TJ-V,Bistrica,Dual,51.34410074,2,non-titrated,"Marusic, F., Zaucer, R., Plesnicar, V., Razborcek, T., Sullivan, J., & Barner, D. (2016). Does grammatical structure accelerate number word learning? Evidence from learners of dual and non-dual dialects of Slovenian.ÊPloS one,Ê11(8), e0159208.",Barner
