Experiment,Language,Subject,KL,Age,method,cite,lab
Barner_Takasaki_2009,Japanese,1_BarnerJapanese1,0,28.67,titrated,"Barner, D., Libenson, A., Cheung, P., & Takasaki, M. (2009). Cross-linguistic relations between quantifiers and numerals in language acquisition: Evidence from Japanese.ÊJournal of experimental child psychology,Ê103(4), 421-440.",Barner
Barner_Takasaki_2009,Japanese,2_BarnerJapanese1,0,29.4,titrated,"Barner, D., Libenson, A., Cheung, P., & Takasaki, M. (2009). Cross-linguistic relations between quantifiers and numerals in language acquisition: Evidence from Japanese.ÊJournal of experimental child psychology,Ê103(4), 421-440.",Barner
Barner_Takasaki_2009,Japanese,3_BarnerJapanese1,0,23.77,titrated,"Barner, D., Libenson, A., Cheung, P., & Takasaki, M. (2009). Cross-linguistic relations between quantifiers and numerals in language acquisition: Evidence from Japanese.ÊJournal of experimental child psychology,Ê103(4), 421-440.",Barner
Barner_Takasaki_2009,Japanese,4_BarnerJapanese1,0,29.53,titrated,"Barner, D., Libenson, A., Cheung, P., & Takasaki, M. (2009). Cross-linguistic relations between quantifiers and numerals in language acquisition: Evidence from Japanese.ÊJournal of experimental child psychology,Ê103(4), 421-440.",Barner
Barner_Takasaki_2009,Japanese,8_BarnerJapanese2,0,26.27,titrated,"Barner, D., Libenson, A., Cheung, P., & Takasaki, M. (2009). Cross-linguistic relations between quantifiers and numerals in language acquisition: Evidence from Japanese.ÊJournal of experimental child psychology,Ê103(4), 421-440.",Barner
Barner_Takasaki_2009,Japanese,9_BarnerJapanese2,0,24.33,titrated,"Barner, D., Libenson, A., Cheung, P., & Takasaki, M. (2009). Cross-linguistic relations between quantifiers and numerals in language acquisition: Evidence from Japanese.ÊJournal of experimental child psychology,Ê103(4), 421-440.",Barner
Barner_Takasaki_2009,Japanese,10_BarnerJapanese2,0,28.47,titrated,"Barner, D., Libenson, A., Cheung, P., & Takasaki, M. (2009). Cross-linguistic relations between quantifiers and numerals in language acquisition: Evidence from Japanese.ÊJournal of experimental child psychology,Ê103(4), 421-440.",Barner
Barner_Takasaki_2009,Japanese,11_BarnerJapanese2,0,29.53,titrated,"Barner, D., Libenson, A., Cheung, P., & Takasaki, M. (2009). Cross-linguistic relations between quantifiers and numerals in language acquisition: Evidence from Japanese.ÊJournal of experimental child psychology,Ê103(4), 421-440.",Barner
Barner_Takasaki_2009,Japanese,12_BarnerJapanese2,0,28.8,titrated,"Barner, D., Libenson, A., Cheung, P., & Takasaki, M. (2009). Cross-linguistic relations between quantifiers and numerals in language acquisition: Evidence from Japanese.ÊJournal of experimental child psychology,Ê103(4), 421-440.",Barner
Barner_Takasaki_2009,Japanese,13_BarnerJapanese2,0,26.13,titrated,"Barner, D., Libenson, A., Cheung, P., & Takasaki, M. (2009). Cross-linguistic relations between quantifiers and numerals in language acquisition: Evidence from Japanese.ÊJournal of experimental child psychology,Ê103(4), 421-440.",Barner
